id,customer_id,action,details,user_id,date
1,2,modificacion,"{""full_name"": ""Isabela Castro""}",2,2025-05-24 11:53:01.644040
2,2,modificacion,"{""full_name"": ""Isabela Castro""}",2,2025-05-24 11:53:19.880170
3,2,modificacion,"{""full_name"": ""Isabela Bolivar""}",2,2025-05-24 11:56:04.774769
4,3,inactivacion,"{""inactivated"": true}",2,2025-05-24 12:00:25.541513
5,3,modificacion,"{""is_active"": true}",2,2025-05-24 12:04:49.823737
6,4,modificacion,"{""is_active"": false}",1,2025-05-24 19:57:16.975249
7,4,modificacion,"{""is_active"": true}",1,2025-05-24 19:58:50.998346
8,4,inactivacion,"{""inactivated"": true}",1,2025-05-24 20:00:16.652340
9,4,modificacion,"{""is_active"": true}",1,2025-05-24 20:01:03.988038
10,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZ"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-26 13:47:19.829271
11,1,inactivacion,"{""inactivated"": true}",1,2025-05-26 13:47:38.494014
12,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZ"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-26 13:47:58.235391
13,8,inactivacion,"{""inactivated"": true}",1,2025-05-26 13:53:11.331709
14,8,modificacion,"{""document_type"": ""CC"", ""document_number"": ""22"", ""full_name"": ""cliente2"", ""phone"": ""1131313"", ""email"": ""bryanao.88@hotmail.com"", ""address"": null, ""is_active"": true}",1,2025-05-26 13:53:17.909322
15,8,modificacion,"{""document_type"": ""CC"", ""document_number"": ""22"", ""full_name"": ""cliente2222"", ""phone"": ""1131313"", ""email"": ""bryanao.88@hotmail.com"", ""address"": null, ""is_active"": true}",1,2025-05-26 13:53:39.672480
16,8,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""22"", ""full_name"": ""cliente2222"", ""phone"": ""1131313"", ""email"": ""bryanao.88@hotmail.com"", ""address"": null, ""is_active"": true}",1,2025-05-26 13:53:47.852449
17,8,modificacion,"{""document_type"": ""CC"", ""document_number"": ""22"", ""full_name"": ""cliente2222"", ""phone"": ""1131313"", ""email"": ""bryanao.88@hotmail.com"", ""address"": null, ""is_active"": true}",1,2025-05-26 13:54:00.714969
18,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas"", ""phone"": ""604-9876543"", ""email"": ""compras@bellezasas.com"", ""address"": ""Avenida Siempre Viva 742"", ""is_active"": true}",1,2025-05-26 14:40:30.926486
19,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZz"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-26 15:07:07.608019
20,1,inactivacion,"{""inactivated"": true}",1,2025-05-26 23:50:46.925076
21,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZz"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-26 23:50:51.853583
22,1,inactivacion,"{""inactivated"": true}",1,2025-05-27 19:59:11.517316
23,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZz"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-27 19:59:15.319939
24,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas B"", ""phone"": ""604-9876543"", ""email"": ""compras@bellezasas.com"", ""address"": ""Avenida Siempre Viva 742"", ""is_active"": true}",1,2025-05-27 23:05:16.513426
25,2,inactivacion,"{""inactivated"": true}",1,2025-05-27 23:06:07.546165
26,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas B"", ""phone"": ""604-9876543"", ""email"": ""compras@bellezasas.com"", ""address"": ""Avenida Siempre Viva 742"", ""is_active"": true}",1,2025-05-27 23:06:11.318898
27,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas BB"", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",1,2025-05-27 23:07:07.491975
28,8,inactivacion,"{""inactivated"": true}",1,2025-05-28 08:07:52.562392
29,8,modificacion,"{""document_type"": ""CC"", ""document_number"": ""22"", ""full_name"": ""cliente2222"", ""phone"": ""1131313"", ""email"": ""bryanao.88@hotmail.com"", ""address"": null, ""is_active"": true}",1,2025-05-28 08:08:01.105265
30,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",1,2025-05-29 15:08:49.076573
31,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": false}",1,2025-05-29 15:08:52.083936
32,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",1,2025-05-29 15:08:56.382837
33,1,inactivacion,"{""inactivated"": true}",1,2025-05-29 16:52:30.366999
34,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZz"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-29 16:52:34.151602
35,11,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10011446822"", ""full_name"": ""Bryan Alejan"", ""phone"": ""30weeew"", ""email"": null, ""address"": ""n"", ""is_active"": true}",1,2025-05-30 18:21:47.916513
36,11,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10011446822"", ""full_name"": ""Bryan Alejan"", ""phone"": ""+136746387468374"", ""email"": null, ""address"": ""n"", ""is_active"": true}",1,2025-05-30 18:22:45.778420
37,15,modificacion,"{""document_type"": ""CC"", ""document_number"": ""324344343"", ""full_name"": ""dgfg"", ""phone"": ""er343434"", ""email"": ""adminv@tienda.comm"", ""address"": null, ""is_active"": true}",1,2025-05-30 20:09:55.806787
38,1,inactivacion,"{""inactivated"": true}",1,2025-05-31 10:35:46.514027
39,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZ"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": false}",1,2025-05-31 10:35:49.624790
